timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1593489705826,48,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526692,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.45_30.06.2020_76.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489705927,1,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.45_30.06.2020_77.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705930,2,POST NULL_NAME,200,,DemoApp Thread Group 1-1,,true,,121,217,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST NULL_NAME_response_07.01.45_30.06.2020_78.unknown,2,ISO-8859-1,1,0,DNAPC,0,1
1593489705933,49,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526717,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.45_30.06.2020_79.json,35,ISO-8859-1,1,0,DNAPC,0,0
1593489705993,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.45_30.06.2020_80.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705995,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.45_30.06.2020_81.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706011,18,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223240,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.46_30.06.2020_82.json,13,ISO-8859-1,1,0,DNAPC,0,0
1593489706047,49,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526717,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.46_30.06.2020_83.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489706147,1,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.46_30.06.2020_84.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706151,3,POST VALID_NAME,200,,DemoApp Thread Group 1-1,,true,,121,227,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST VALID_NAME_response_07.01.46_30.06.2020_85.unknown,3,ISO-8859-1,1,0,DNAPC,0,1
1593489706157,53,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526752,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.46_30.06.2020_86.json,39,ISO-8859-1,1,0,DNAPC,0,0
1593489706231,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.46_30.06.2020_87.json,1,ISO-8859-1,1,0,DNAPC,0,0
